lane_id,det_id
-114108319#0_0,e1det_-114108319#0_0
-119617637#10_0,e1det_-119617637#10_0
-119980756#4_0,e1det_-119980756#4_0
-119980759#5_0,e1det_-119980759#5_0
-121510282#1_0,e1det_-121510282#1_0
-121510284#1_0,e1det_-121510284#1_0
-121778769#2_0,e1det_-121778769#2_0
-121778769#4_0,e1det_-121778769#4_0
-121981776#4_0,e1det_-121981776#4_0
-121981776#5_0,e1det_-121981776#5_0
-121988914_0,e1det_-121988914_0
-121988929#0_0,e1det_-121988929#0_0
-121991173#1_0,e1det_-121991173#1_0
-121991960#6_0,e1det_-121991960#6_0
-121991960#7_0,e1det_-121991960#7_0
-122347705#1_0,e1det_-122347705#1_0
-127485853#1_0,e1det_-127485853#1_0
-127485853#4_0,e1det_-127485853#4_0
-128576354#0_0,e1det_-128576354#0_0
-128576354#0_1,e1det_-128576354#0_1
-128576354#1_0,e1det_-128576354#1_0
-128576354#1_1,e1det_-128576354#1_1
-128576354#2_0,e1det_-128576354#2_0
-128576354#2_1,e1det_-128576354#2_1
-128620742#1_0,e1det_-128620742#1_0
-128624211#0_0,e1det_-128624211#0_0
-128624211#2_0,e1det_-128624211#2_0
-128624211#3_0,e1det_-128624211#3_0
-128883552#2_0,e1det_-128883552#2_0
-136512012#1_0,e1det_-136512012#1_0
-136512012#4_0,e1det_-136512012#4_0
-136512207#0_0,e1det_-136512207#0_0
-136597124_0,e1det_-136597124_0
-136597131_0,e1det_-136597131_0
-138684850_0,e1det_-138684850_0
-138693091#0_0,e1det_-138693091#0_0
-138693091#1_0,e1det_-138693091#1_0
-139542981_0,e1det_-139542981_0
-139542982_0,e1det_-139542982_0
-144929523#3_0,e1det_-144929523#3_0
-144929523#4_0,e1det_-144929523#4_0
-155236367#0_0,e1det_-155236367#0_0
-155236367#4_0,e1det_-155236367#4_0
-156469312#0_0,e1det_-156469312#0_0
-156469312#1_0,e1det_-156469312#1_0
-159524563#1_0,e1det_-159524563#1_0
-159524586#1_0,e1det_-159524586#1_0
-159694559#0_0,e1det_-159694559#0_0
-161289126#0_0,e1det_-161289126#0_0
-161289126#1_0,e1det_-161289126#1_0
-161289132#2_0,e1det_-161289132#2_0
-161296945#1_0,e1det_-161296945#1_0
-161298699#0_0,e1det_-161298699#0_0
